0.100000 20.000000 6.666667
0.201010 9.949749 3.316583
0.302020 6.622074 2.207358
0.403030 4.962406 1.654135
0.504040 3.967936 1.322645
0.605051 3.305509 1.101836
0.706061 2.832618 0.944206
0.807071 2.478098 0.826033
0.908081 2.202447 0.734149
1.009091 1.981982 0.660661
1.110101 1.801638 0.600546
1.211111 1.651376 0.550459
1.312121 1.524249 0.508083
1.413131 1.415297 0.471766
1.514141 1.320881 0.440294
1.615152 1.238274 0.412758
1.716162 1.165391 0.388464
1.817172 1.100611 0.366870
1.918182 1.042654 0.347551
2.019192 0.990495 0.330165
2.120202 0.943306 0.314435
2.221212 0.900409 0.300136
2.322222 0.861244 0.287081
2.423232 0.825344 0.275115
2.524242 0.792317 0.264106
2.625253 0.761831 0.253944
2.726263 0.733605 0.244535
2.827273 0.707395 0.235798
2.928283 0.682994 0.227665
3.029293 0.660220 0.220073
3.130303 0.638916 0.212972
3.231313 0.618943 0.206314
3.332323 0.600182 0.200061
3.433333 0.582524 0.194175
3.534343 0.565876 0.188625
3.635354 0.550153 0.183384
3.736364 0.535280 0.178427
3.837374 0.521190 0.173730
3.938384 0.507823 0.169274
4.039394 0.495124 0.165041
4.140404 0.483045 0.161015
4.241414 0.471541 0.157180
4.342424 0.460572 0.153524
4.443434 0.450102 0.150034
4.544444 0.440098 0.146699
4.645455 0.430528 0.143509
4.746465 0.421366 0.140455
4.847475 0.412586 0.137529
4.948485 0.404164 0.134721
5.049495 0.396079 0.132026
5.150505 0.388311 0.129437
5.251515 0.380842 0.126947
5.352525 0.373655 0.124552
5.453535 0.366735 0.122245
5.554545 0.360065 0.120022
5.655556 0.353635 0.117878
5.756566 0.347429 0.115810
5.857576 0.341438 0.113813
5.958586 0.335650 0.111883
6.059596 0.330055 0.110018
6.160606 0.324643 0.108214
6.261616 0.319406 0.106469
6.362626 0.314336 0.104779
6.463636 0.309423 0.103141
6.564646 0.304662 0.101554
6.665657 0.300045 0.100015
6.766667 0.295567 0.098522
6.867677 0.291219 0.097073
6.968687 0.286998 0.095666
7.069697 0.282898 0.094299
7.170707 0.278913 0.092971
7.271717 0.275038 0.091679
7.372727 0.271270 0.090423
7.473737 0.267604 0.089201
7.574747 0.264035 0.088012
7.675758 0.260561 0.086854
7.776768 0.257176 0.085725
7.877778 0.253879 0.084626
7.978788 0.250665 0.083555
8.079798 0.247531 0.082510
8.180808 0.244475 0.081492
8.281818 0.241493 0.080498
8.382828 0.238583 0.079528
8.483838 0.235742 0.078581
8.584848 0.232969 0.077656
8.685859 0.230259 0.076753
8.786869 0.227612 0.075871
8.887879 0.225026 0.075009
8.988889 0.222497 0.074166
9.089899 0.220024 0.073341
9.190909 0.217606 0.072535
9.291919 0.215241 0.071747
9.392929 0.212926 0.070975
9.493939 0.210661 0.070220
9.594949 0.208443 0.069481
9.695960 0.206271 0.068757
9.796970 0.204145 0.068048
9.897980 0.202061 0.067354
9.998990 0.200020 0.066673
10.100000 0.198020 0.066007
